,blue1,blue99,green1,green99,red1,red99,nir1,nir99,date
0,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20181121
1,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20170904
2,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20210629
3,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20191011
4,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20230521
5,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20221023
6,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20230310
7,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20200703
8,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20190823
9,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20240225
10,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20211016
11,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20201205
12,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20210706
13,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20221127
14,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20230513
15,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20170602
16,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20180111
17,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20210728
18,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20191016
19,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20210118
20,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20180513
21,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20230310
22,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20210507
23,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20180927
24,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20210409
25,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20221117
26,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20181126
27,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20180722
28,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20170313
29,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20220519
30,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20220311
