acquired,satellite_azimuth,satellite_id,sun_azimuth,sun_elevation,view_angle
2021-03-23T18:07:32.739819Z,277.3,2412,143.6,54.2,4.9
2018-05-18T17:29:41.588501Z,141.1,1011,109.4,63,0.2
2018-04-10T17:27:10.934242Z,105.9,1004,125.1,54.6,1.2
2019-03-22T17:47:09.829913Z,273.8,1060,137.1,51.1,2.1
2020-07-06T17:44:53.006Z,276.5,103b,105,65.5,4
2021-06-15T14:49:05.083039Z,258,0f32,79.3,29.8,2
2018-12-19T17:36:01.22424Z,160.9,1015,152.8,30,0.1
2022-04-17T17:42:26.376719Z,277.9,2498,126.4,58.7,5
2021-10-30T18:00:30.206465Z,277.4,2416,158.3,41.9,5
2018-05-25T17:28:53.707935Z,183,100c,106.5,63.5,0
2018-05-23T17:30:30.84855Z,200.3,0f52,107.5,63.6,0.1
2023-06-08T17:08:51.702604Z,100.4,24c3,98.6,60.1,5
2021-05-03T17:41:57.126279Z,101.6,0f15,120.2,63.5,3
2020-05-18T17:29:52.737278Z,270.9,0e20,109.1,63,1.1
2022-06-07T17:50:11.39044Z,100.5,227a,108.2,68.6,4
2021-05-11T17:12:07.458881Z,99.9,2451,108.1,59.2,5
2017-08-16T17:17:00.339054Z,101,1035,114.2,55.8,3.5
2023-07-03T17:06:32.43644Z,100.2,241d,97,58.4,5
2018-05-08T17:28:47.116781Z,103.5,1018,113.7,61.6,1.5
2017-11-25T18:13:06.989565Z,259.7,0f2a,163.5,36,4
2022-05-29T17:10:47.35981Z,102.2,2212,101.2,60.1,2.1
2020-09-27T17:56:34.872901Z,274.4,105c,148.1,52,2
2022-01-02T17:07:34.533523Z,100.3,242b,144.9,26.7,5
2024-01-27T17:59:52.603883Z,103.2,2486,152.4,35.3,2
2019-07-15T17:54:08.946544Z,269.7,1060,110,66.8,1.1
2023-09-25T17:11:01.66525Z,101.8,2429,132.7,46.9,2.9
2021-04-26T17:25:31.85218Z,270.2,2259,117.5,58.4,1.1
2020-05-02T15:56:02.263373Z,87.1,100d,96.8,41.6,2
2023-04-06T17:10:51.098763Z,128.9,24c4,121.7,50.1,0.4
2024-02-24T17:14:20.325065Z,100.2,24b5,135.1,37.4,5
2022-04-15T17:21:06.684157Z,259.6,1067,120.6,54.5,5
2020-05-29T15:53:19.481886Z,259.8,1052,88.7,43.3,4
2019-03-23T18:22:27.383161Z,258.3,106f,149.2,55.8,3.1
2020-01-28T18:05:55.04405Z,275,105a,153.5,36,2
2018-04-11T17:27:27.029145Z,168.8,1033,124.7,54.9,0.8
2019-01-31T17:07:58.325172Z,86.4,0f4d,139,30,1.9000000000000001
2023-05-07T17:01:48.719083Z,100,2449,107.3,56.2,3.8
2022-11-13T17:07:22.868957Z,277.3,2427,145.7,32.8,5
2019-08-22T17:40:17.006103Z,134.2,1029,123.7,59,0.1
