x,y,wetdry,assumption,date,blue,green,red,NIR,missing,NDWI,p
535249.62,3541945.02,wet,survey/imagery match,2019-03-26,742.56,1035.56,1134.78,2220.78,0,-0.36,0
535249.62,3541945.02,wet,survey/imagery match,2019-03-26,1263.56,1462.11,1772.67,2206.89,0,-0.20,0
535244.68,3541945.79,wet,survey/imagery match,2019-03-26,714.56,1047.56,1138.00,2280.11,0,-0.37,0
535244.68,3541945.79,wet,survey/imagery match,2019-03-26,1248.11,1454.56,1775.33,2197.89,0,-0.20,0
534034.48,3542381.03,dry,survey/imagery match,2019-03-26,1057.56,1432.67,1857.89,2559.33,0,-0.28,0
535654.68,3541851.27,wet,survey/imagery match,2019-03-26,594.11,871.67,907.44,2107.89,0,-0.41,0
534031.40,3542580.59,dry,survey/imagery match,2019-03-26,1111.00,1357.89,1613.67,2149.56,0,-0.23,0
534031.04,3542585.58,dry,survey/imagery match,2019-03-26,689.33,946.89,1092.11,2081.56,0,-0.37,0
534031.04,3542585.58,dry,survey/imagery match,2019-03-26,1113.44,1361.00,1615.56,2155.78,0,-0.23,0
534030.69,3542590.57,dry,survey/imagery match,2019-03-26,731.11,1006.67,1177.00,2150.56,0,-0.36,0
534030.69,3542590.57,dry,survey/imagery match,2019-03-26,1171.78,1397.44,1672.78,2163.33,0,-0.22,0
534030.34,3542595.56,dry,survey/imagery match,2019-03-26,770.11,1044.56,1253.56,2208.56,0,-0.36,0
534030.34,3542595.56,dry,survey/imagery match,2019-03-26,1189.11,1403.22,1688.44,2171.44,0,-0.21,0
534029.98,3542600.54,dry,survey/imagery match,2019-03-26,758.78,1028.44,1215.22,2249.78,0,-0.37,0
534029.98,3542600.54,dry,survey/imagery match,2019-03-26,1179.11,1393.89,1668.11,2174.78,0,-0.22,0
534029.63,3542605.53,dry,survey/imagery match,2019-03-26,743.67,1002.89,1184.00,2254.89,0,-0.38,0
534029.63,3542605.53,dry,survey/imagery match,2019-03-26,1173.89,1408.44,1669.56,2186.11,0,-0.22,0
534029.27,3542610.52,dry,survey/imagery match,2019-03-26,761.22,1003.89,1197.78,2214.67,0,-0.38,0
534029.27,3542610.52,dry,survey/imagery match,2019-03-26,1178.22,1409.11,1672.67,2154.11,0,-0.21,0
534031.40,3542580.59,dry,survey/imagery match,2019-03-26,676.56,925.67,1066.56,2047.67,0,-0.38,0
534031.75,3542575.61,dry,survey/imagery match,2019-03-26,1169.33,1418.00,1680.67,2175.00,0,-0.21,0
534031.75,3542575.61,dry,survey/imagery match,2019-03-26,667.56,915.67,1054.78,2079.78,0,-0.39,0
534034.24,3542540.70,dry,survey/imagery match,2019-03-26,1260.44,1493.89,1796.11,2232.11,0,-0.20,0
534033.88,3542545.68,dry,survey/imagery match,2019-03-26,652.22,934.11,1074.22,2335.44,0,-0.43,0
534033.88,3542545.68,dry,survey/imagery match,2019-03-26,1332.78,1580.89,1921.67,2327.78,0,-0.19,0
