x,y,wetdry,assumption,date,blue,green,red,NIR,missing,NDWI,p
535131.04,3541963.41,wet,assumed perennial,2018-04-06,668.89,974.44,1188.78,2393.44,0,-0.42,0
535126.10,3541964.18,wet,assumed perennial,2018-04-06,644.22,957.11,1143.67,2316.89,0,-0.42,0
535165.63,3541958.05,wet,assumed perennial,2018-04-06,639.11,922.33,1117.33,2015.00,0,-0.37,0
535150.80,3541960.35,wet,assumed perennial,2018-04-06,697.89,978.11,1196.67,2073.44,0,-0.36,0
535160.69,3541958.81,wet,assumed perennial,2018-04-06,654.78,924.56,1123.56,2042.67,0,-0.38,0
535175.51,3541956.52,wet,assumed perennial,2018-04-06,638.11,939.22,1148.22,2114.00,0,-0.38,0
535195.27,3541953.45,wet,assumed perennial,2018-04-06,582.67,863.11,1021.56,2226.44,0,-0.44,0
533536.93,3542684.36,wet,assumed perennial,2018-04-06,619.78,910.78,1110.78,2050.33,0,-0.38,0
535190.33,3541954.22,wet,assumed perennial,2018-04-06,622.67,901.00,1083.89,2156.11,0,-0.41,0
535185.39,3541954.98,wet,assumed perennial,2018-04-06,650.11,928.22,1121.67,2130.44,0,-0.39,0
535180.45,3541955.75,wet,assumed perennial,2018-04-06,678.33,961.33,1175.56,2115.67,0,-0.38,0
535210.10,3541951.15,wet,assumed perennial,2018-04-06,618.00,905.78,1106.44,2059.78,0,-0.39,0
535170.57,3541957.28,wet,assumed perennial,2018-04-06,623.56,927.33,1125.89,2082.11,0,-0.38,0
535121.16,3541964.95,wet,assumed perennial,2018-04-06,633.78,934.00,1110.89,2176.22,0,-0.40,0
533482.61,3542675.68,wet,assumed perennial,2018-04-06,480.33,758.56,934.78,1830.33,0,-0.41,0
535313.86,3541935.06,wet,assumed perennial,2018-04-06,552.56,837.11,993.56,2169.78,0,-0.44,0
530534.36,3544474.21,wet,assumed perennial,2018-04-06,621.44,925.89,1140.44,1844.11,0,-0.33,0
533531.99,3542683.57,wet,assumed perennial,2018-04-06,602.89,906.00,1090.33,2192.67,0,-0.42,0
530529.36,3544474.02,wet,assumed perennial,2018-04-06,677.11,983.67,1218.33,1875.56,0,-0.31,0
533527.05,3542682.79,wet,assumed perennial,2018-04-06,591.56,883.33,1059.00,2159.56,0,-0.42,0
530524.36,3544473.83,wet,assumed perennial,2018-04-06,733.78,1051.67,1334.22,1950.22,0,-0.30,0
533522.11,3542682.00,wet,assumed perennial,2018-04-06,604.56,874.44,1050.56,2190.44,0,-0.43,0
