x,y,wetdry,assumption,date,blue,green,red,NIR,missing,NDWI,p
535279.27,3541940.42,wet,assumed perennial,2020-06-28,509.33,823.44,1172.00,2517.56,0,-0.51,0
535264.45,3541942.72,wet,assumed perennial,2020-06-28,617.11,813.78,1194.89,2120.67,0,-0.45,0
535318.80,3541934.29,wet,assumed perennial,2020-06-28,524.00,859.44,1214.33,2502.44,0,-0.49,0
535372.10,3541921.95,wet,assumed perennial,2020-06-28,503.33,805.89,1144.00,2403.33,0,-0.50,0
535328.68,3541932.76,wet,assumed perennial,2020-06-28,550.56,880.00,1257.22,2481.44,0,-0.48,0
535367.44,3541923.74,wet,assumed perennial,2020-06-28,517.56,825.00,1177.56,2386.22,0,-0.49,0
535367.44,3541923.74,wet,assumed perennial,2020-06-28,556.56,773.78,1143.89,2163.22,0,-0.47,0
535362.77,3541925.53,wet,assumed perennial,2020-06-28,523.22,837.22,1187.89,2411.33,0,-0.48,0
535362.77,3541925.53,wet,assumed perennial,2020-06-28,535.89,764.33,1117.22,2168.11,0,-0.48,0
535358.10,3541927.32,wet,assumed perennial,2020-06-28,538.67,868.00,1216.67,2463.11,0,-0.48,0
535358.10,3541927.32,wet,assumed perennial,2020-06-28,536.89,766.67,1098.00,2156.67,0,-0.48,0
535338.56,3541931.23,wet,assumed perennial,2020-06-28,526.33,833.89,1202.00,2252.22,0,-0.46,0
535338.56,3541931.23,wet,assumed perennial,2020-06-28,629.89,824.44,1198.11,2181.89,0,-0.45,0
535333.62,3541931.99,wet,assumed perennial,2020-06-28,559.44,866.56,1233.22,2398.89,0,-0.47,0
535333.62,3541931.99,wet,assumed perennial,2020-06-28,607.56,785.33,1162.22,2160.11,0,-0.47,0
535323.74,3541933.52,wet,assumed perennial,2020-06-28,541.11,877.11,1254.78,2521.67,0,-0.48,0
535323.74,3541933.52,wet,assumed perennial,2020-06-28,504.56,732.22,1059.22,2127.56,0,-0.49,0
535328.68,3541932.76,wet,assumed perennial,2020-06-28,503.67,722.44,1054.89,2127.89,0,-0.49,0
535259.50,3541943.49,wet,assumed perennial,2020-06-28,700.33,887.22,1304.56,2327.56,0,-0.45,0
535126.10,3541964.18,wet,assumed perennial,2020-06-28,567.89,762.33,1102.67,2220.78,0,-0.49,0
535126.10,3541964.18,wet,assumed perennial,2020-06-28,540.33,853.33,1207.44,2473.00,0,-0.49,0
535165.63,3541958.05,wet,assumed perennial,2020-06-28,696.56,912.44,1306.56,2415.89,0,-0.45,0
535165.63,3541958.05,wet,assumed perennial,2020-06-28,523.11,843.56,1163.44,2681.56,0,-0.52,0
535160.69,3541958.81,wet,assumed perennial,2020-06-28,731.44,975.33,1445.00,2668.56,0,-0.46,0
535131.04,3541963.41,wet,assumed perennial,2020-06-28,540.11,860.11,1207.56,2570.89,0,-0.50,0
535160.69,3541958.81,wet,assumed perennial,2020-06-28,519.11,846.00,1183.67,2588.11,0,-0.51,0
535170.57,3541957.28,wet,assumed perennial,2020-06-28,568.67,768.44,1116.89,2235.11,0,-0.49,0
535170.57,3541957.28,wet,assumed perennial,2020-06-28,532.67,848.00,1167.00,2709.67,0,-0.52,0
535175.51,3541956.52,wet,assumed perennial,2020-06-28,537.33,738.67,1097.22,2241.33,0,-0.50,0
535175.51,3541956.52,wet,assumed perennial,2020-06-28,527.44,842.11,1169.67,2718.56,0,-0.53,0
535195.27,3541953.45,wet,assumed perennial,2020-06-28,719.44,903.44,1289.44,2408.22,0,-0.45,0
535195.27,3541953.45,wet,assumed perennial,2020-06-28,523.44,828.00,1139.33,2503.00,0,-0.50,0
535131.04,3541963.41,wet,assumed perennial,2020-06-28,552.56,785.56,1145.33,2286.44,0,-0.49,0
535135.98,3541962.65,wet,assumed perennial,2020-06-28,538.78,871.00,1216.22,2600.89,0,-0.50,0
530539.31,3544473.64,wet,assumed perennial,2020-06-28,646.11,987.44,1374.00,2341.56,0,-0.41,0
535121.16,3541964.95,wet,assumed perennial,2020-06-28,499.22,694.67,1000.22,2131.78,0,-0.51,0
535121.16,3541964.95,wet,assumed perennial,2020-06-28,553.67,880.22,1244.00,2350.22,0,-0.46,0
535150.80,3541960.35,wet,assumed perennial,2020-06-28,852.11,1094.11,1593.56,2790.11,0,-0.44,0
535150.80,3541960.35,wet,assumed perennial,2020-06-28,557.33,880.56,1259.44,2598.44,0,-0.49,0
535145.86,3541961.11,wet,assumed perennial,2020-06-28,759.67,1004.44,1476.56,2608.00,0,-0.44,0
535145.86,3541961.11,wet,assumed perennial,2020-06-28,555.22,884.00,1249.11,2642.11,0,-0.50,0
535155.75,3541959.58,wet,assumed perennial,2020-06-28,746.78,1001.22,1486.44,2740.11,0,-0.46,0
535155.75,3541959.58,wet,assumed perennial,2020-06-28,529.67,859.00,1214.11,2561.44,0,-0.50,0
