x,y,wetdry,assumption,date,blue,green,red,NIR,missing,NDWI,p
535219.98,3541949.62,wet,assumed perennial,2021-02-20,620.00,974.00,1355.67,2045.22,0,-0.35,0
535328.68,3541932.76,wet,assumed perennial,2021-02-20,563.67,922.22,1250.11,1956.44,0,-0.36,0
535323.74,3541933.52,wet,assumed perennial,2021-02-20,560.67,911.22,1245.78,1914.00,0,-0.35,0
535333.62,3541931.99,wet,assumed perennial,2021-02-20,629.22,992.78,1351.78,2006.00,0,-0.34,0
535338.56,3541931.23,wet,assumed perennial,2021-02-20,674.11,1059.67,1404.33,2063.67,0,-0.32,0
535358.10,3541927.32,wet,assumed perennial,2021-02-20,1017.67,1491.67,1894.56,2538.67,0,-0.26,0
535362.77,3541925.53,wet,assumed perennial,2021-02-20,636.44,1036.22,1372.56,2128.67,0,-0.35,0
535367.44,3541923.74,wet,assumed perennial,2021-02-20,551.11,932.89,1216.89,2027.78,0,-0.37,0
535372.10,3541921.95,wet,assumed perennial,2021-02-20,587.89,938.44,1294.67,2066.11,0,-0.38,0
535353.38,3541928.93,wet,assumed perennial,2021-02-20,1010.33,1493.67,1882.00,2514.11,0,-0.25,0
535348.44,3541929.69,wet,assumed perennial,2021-02-20,812.56,1183.56,1527.00,2242.56,0,-0.31,0
535343.50,3541930.46,wet,assumed perennial,2021-02-20,711.11,1081.67,1437.00,2119.89,0,-0.32,0
535445.90,3541891.13,wet,assumed perennial,2021-02-20,879.00,1448.44,2047.33,2834.56,0,-0.32,0
535441.34,3541893.17,wet,assumed perennial,2021-02-20,824.56,1351.44,1939.67,2684.22,0,-0.33,0
535436.77,3541895.22,wet,assumed perennial,2021-02-20,835.22,1327.67,1875.00,2609.00,0,-0.33,0
535432.21,3541897.26,wet,assumed perennial,2021-02-20,832.78,1320.78,1822.11,2584.00,0,-0.32,0
535409.38,3541907.46,wet,assumed perennial,2021-02-20,683.00,1107.22,1577.33,2303.67,0,-0.35,0
535200.21,3541952.68,wet,assumed perennial,2021-02-20,691.89,1136.56,1582.33,2303.22,0,-0.34,0
535318.80,3541934.29,wet,assumed perennial,2021-02-20,569.78,892.89,1243.11,1800.89,0,-0.34,0
535308.91,3541935.82,wet,assumed perennial,2021-02-20,537.89,876.22,1200.44,1884.89,0,-0.37,0
535400.11,3541911.20,wet,assumed perennial,2021-02-20,681.67,1118.78,1565.78,2282.89,0,-0.34,0
535313.86,3541935.06,wet,assumed perennial,2021-02-20,546.67,871.22,1202.33,1828.33,0,-0.35,0
535303.97,3541936.59,wet,assumed perennial,2021-02-20,545.11,932.11,1289.67,1960.78,0,-0.36,0
535215.04,3541950.38,wet,assumed perennial,2021-02-20,638.78,1024.00,1436.89,2114.67,0,-0.35,0
535224.92,3541948.85,wet,assumed perennial,2021-02-20,625.89,1021.33,1361.22,1981.00,0,-0.32,0
535229.86,3541948.09,wet,assumed perennial,2021-02-20,599.89,1008.33,1311.56,1935.22,0,-0.31,0
535234.80,3541947.32,wet,assumed perennial,2021-02-20,514.00,886.78,1175.67,1895.00,0,-0.36,0
535239.74,3541946.55,wet,assumed perennial,2021-02-20,516.00,853.67,1187.44,1881.44,0,-0.38,0
535249.62,3541945.02,wet,assumed perennial,2021-02-20,540.67,871.78,1262.11,1843.11,0,-0.36,0
535254.56,3541944.25,wet,assumed perennial,2021-02-20,580.33,905.44,1320.67,1840.89,0,-0.34,0
535244.68,3541945.79,wet,assumed perennial,2021-02-20,527.67,857.33,1206.00,1868.22,0,-0.37,0
535264.45,3541942.72,wet,assumed perennial,2021-02-20,541.89,906.33,1275.33,1812.67,0,-0.33,0
535299.03,3541937.36,wet,assumed perennial,2021-02-20,546.00,936.78,1328.78,1953.56,0,-0.35,0
535294.09,3541938.12,wet,assumed perennial,2021-02-20,555.67,920.00,1348.44,1970.56,0,-0.36,0
535289.15,3541938.89,wet,assumed perennial,2021-02-20,559.33,918.78,1311.44,1938.33,0,-0.36,0
535284.21,3541939.66,wet,assumed perennial,2021-02-20,550.11,920.00,1297.89,1899.56,0,-0.35,0
535279.27,3541940.42,wet,assumed perennial,2021-02-20,551.44,923.44,1273.78,1877.33,0,-0.34,0
535274.33,3541941.19,wet,assumed perennial,2021-02-20,560.56,932.56,1278.00,1810.00,0,-0.32,0
535269.39,3541941.95,wet,assumed perennial,2021-02-20,551.78,922.33,1272.22,1788.78,0,-0.32,0
535259.50,3541943.49,wet,assumed perennial,2021-02-20,569.11,905.78,1290.44,1804.67,0,-0.33,0
535625.52,3541854.76,wet,assumed perennial,2021-02-21,467.78,717.22,940.22,1654.00,0,-0.40,0
535517.00,3541876.39,wet,assumed perennial,2021-02-21,343.89,640.89,831.56,1599.33,0,-0.43,0
535512.02,3541875.93,wet,assumed perennial,2021-02-21,365.56,651.89,855.67,1641.56,0,-0.43,0
535521.98,3541876.84,wet,assumed perennial,2021-02-21,345.44,651.22,838.89,1632.56,0,-0.43,0
535526.96,3541877.30,wet,assumed perennial,2021-02-21,371.78,676.78,868.67,1692.00,0,-0.43,0
535531.94,3541877.76,wet,assumed perennial,2021-02-21,435.33,753.22,950.56,1849.33,0,-0.42,0
535630.00,3541852.53,wet,assumed perennial,2021-02-21,507.11,765.22,965.56,1753.78,0,-0.39,0
535669.68,3541851.35,wet,assumed perennial,2021-02-21,587.00,855.11,1039.00,2013.00,0,-0.40,0
535639.68,3541851.20,wet,assumed perennial,2021-02-21,441.78,697.67,872.22,1657.44,0,-0.41,0
535644.68,3541851.22,wet,assumed perennial,2021-02-21,462.78,689.89,868.78,1664.44,0,-0.41,0
535621.04,3541856.98,wet,assumed perennial,2021-02-21,415.56,675.11,878.78,1576.33,0,-0.40,0
535616.56,3541859.20,wet,assumed perennial,2021-02-21,425.22,709.33,898.67,1610.00,0,-0.39,0
535612.09,3541861.42,wet,assumed perennial,2021-02-21,471.89,762.11,1000.78,1762.33,0,-0.40,0
535607.61,3541863.64,wet,assumed perennial,2021-02-21,527.44,847.33,1146.56,1900.56,0,-0.38,0
535674.35,3541852.91,wet,assumed perennial,2021-02-21,617.33,868.33,1056.44,2069.11,0,-0.41,0
535634.68,3541851.17,wet,assumed perennial,2021-02-21,495.11,761.22,953.67,1745.22,0,-0.39,0
535502.06,3541875.02,wet,assumed perennial,2021-02-21,404.78,678.22,887.11,1686.00,0,-0.43,0
535464.16,3541882.97,wet,assumed perennial,2021-02-21,442.22,687.78,934.78,1780.11,0,-0.44,0
535492.11,3541874.10,wet,assumed perennial,2021-02-21,396.56,636.22,837.89,1597.67,0,-0.43,0
535386.11,3541916.57,wet,assumed perennial,2021-02-21,468.89,783.33,1033.78,1989.78,0,-0.44,0
535381.44,3541918.36,wet,assumed perennial,2021-02-21,522.89,824.56,1078.22,2085.33,0,-0.43,0
535376.77,3541920.15,wet,assumed perennial,2021-02-21,540.44,829.67,1061.67,2038.00,0,-0.42,0
535413.95,3541905.42,wet,assumed perennial,2021-02-21,535.11,820.00,989.22,2010.89,0,-0.42,0
535418.51,3541903.38,wet,assumed perennial,2021-02-21,515.22,809.11,992.78,1988.33,0,-0.42,0
535423.08,3541901.34,wet,assumed perennial,2021-02-21,425.56,734.56,918.78,1803.11,0,-0.42,0
535427.64,3541899.30,wet,assumed perennial,2021-02-21,406.22,701.33,894.44,1783.78,0,-0.44,0
535450.47,3541889.09,wet,assumed perennial,2021-02-21,454.00,710.22,902.56,1806.89,0,-0.44,0
535459.59,3541885.01,wet,assumed perennial,2021-02-21,464.22,708.22,930.00,1786.89,0,-0.43,0
535455.03,3541887.05,wet,assumed perennial,2021-02-21,453.67,717.33,927.33,1775.56,0,-0.42,0
535468.72,3541880.93,wet,assumed perennial,2021-02-21,405.00,650.33,894.33,1667.22,0,-0.44,0
535683.47,3541857.01,wet,assumed perennial,2021-02-21,617.67,881.67,1083.22,2111.89,0,-0.41,0
535473.29,3541878.89,wet,assumed perennial,2021-02-21,391.67,640.44,869.56,1622.44,0,-0.43,0
535477.85,3541876.85,wet,assumed perennial,2021-02-21,386.33,625.11,842.22,1609.56,0,-0.44,0
535487.13,3541873.64,wet,assumed perennial,2021-02-21,386.44,632.11,817.33,1564.22,0,-0.42,0
535482.42,3541874.81,wet,assumed perennial,2021-02-21,379.00,624.89,812.33,1577.78,0,-0.43,0
535497.09,3541874.56,wet,assumed perennial,2021-02-21,402.00,656.22,862.22,1657.00,0,-0.43,0
535507.04,3541875.47,wet,assumed perennial,2021-02-21,400.33,674.33,896.67,1708.11,0,-0.43,0
535692.59,3541861.10,wet,assumed perennial,2021-02-21,582.11,853.11,1050.78,2025.44,0,-0.41,0
535760.12,3541911.25,wet,assumed perennial,2021-02-21,534.22,775.00,972.78,1852.78,0,-0.41,0
535678.91,3541854.96,wet,assumed perennial,2021-02-21,624.78,868.67,1066.67,2097.89,0,-0.41,0
535786.09,3541934.72,wet,assumed perennial,2021-02-21,551.00,774.11,957.67,1854.33,0,-0.41,0
535782.38,3541931.36,wet,assumed perennial,2021-02-21,469.56,722.11,892.00,1785.56,0,-0.42,0
535789.80,3541938.07,wet,assumed perennial,2021-02-21,586.67,813.89,1020.89,1934.67,0,-0.41,0
535794.09,3541940.63,wet,assumed perennial,2021-02-21,616.56,856.11,1072.78,2051.22,0,-0.41,0
535798.40,3541943.16,wet,assumed perennial,2021-02-21,626.56,870.89,1101.56,2136.56,0,-0.42,0
535802.71,3541945.70,wet,assumed perennial,2021-02-21,624.33,880.00,1114.00,2152.22,0,-0.42,0
535837.19,3541965.99,wet,assumed perennial,2021-02-21,511.89,775.00,942.44,1874.00,0,-0.41,0
535701.71,3541865.20,wet,assumed perennial,2021-02-21,576.22,848.22,1067.56,2008.33,0,-0.41,0
535841.49,3541968.53,wet,assumed perennial,2021-02-21,529.44,778.22,956.33,1886.44,0,-0.42,0
535824.26,3541958.38,wet,assumed perennial,2021-02-21,541.89,790.67,1012.33,1962.67,0,-0.43,0
535828.57,3541960.92,wet,assumed perennial,2021-02-21,503.78,758.00,960.67,1916.56,0,-0.43,0
535819.95,3541955.84,wet,assumed perennial,2021-02-21,577.44,825.89,1040.33,2067.67,0,-0.43,0
535815.64,3541953.31,wet,assumed perennial,2021-02-21,585.44,831.22,1043.22,2064.56,0,-0.43,0
535811.33,3541950.77,wet,assumed perennial,2021-02-21,598.78,859.67,1072.89,2048.33,0,-0.41,0
535807.02,3541948.24,wet,assumed perennial,2021-02-21,608.00,881.00,1094.33,2089.67,0,-0.41,0
535390.78,3541914.78,wet,assumed perennial,2021-02-21,464.89,770.11,1043.89,1940.11,0,-0.43,0
535832.88,3541963.45,wet,assumed perennial,2021-02-21,471.22,735.00,902.78,1867.33,0,-0.44,0
535688.03,3541859.06,wet,assumed perennial,2021-02-21,606.89,868.67,1071.78,2081.78,0,-0.41,0
535706.27,3541867.25,wet,assumed perennial,2021-02-21,646.00,891.67,1123.22,2096.67,0,-0.40,0
535715.40,3541871.35,wet,assumed perennial,2021-02-21,615.56,882.22,1131.78,2099.22,0,-0.41,0
535697.15,3541863.15,wet,assumed perennial,2021-02-21,560.78,854.78,1055.11,2024.78,0,-0.41,0
535771.25,3541921.31,wet,assumed perennial,2021-02-21,482.89,715.89,909.33,1749.56,0,-0.42,0
535774.96,3541924.66,wet,assumed perennial,2021-02-21,445.89,684.00,868.33,1683.56,0,-0.42,0
535778.67,3541928.01,wet,assumed perennial,2021-02-21,405.44,659.67,830.89,1673.22,0,-0.43,0
535767.54,3541917.96,wet,assumed perennial,2021-02-21,518.89,745.56,946.89,1855.22,0,-0.43,0
535763.83,3541914.60,wet,assumed perennial,2021-02-21,542.33,762.89,957.22,1852.00,0,-0.42,0
535756.42,3541907.90,wet,assumed perennial,2021-02-21,520.89,784.00,983.22,1931.56,0,-0.42,0
535710.84,3541869.30,wet,assumed perennial,2021-02-21,642.33,903.33,1145.00,2145.78,0,-0.41,0
535745.29,3541897.84,wet,assumed perennial,2021-02-21,493.33,739.89,946.67,1915.89,0,-0.44,0
535752.71,3541904.55,wet,assumed perennial,2021-02-21,480.33,754.11,961.22,1930.33,0,-0.44,0
535734.16,3541887.78,wet,assumed perennial,2021-02-21,616.00,839.56,1099.11,1998.78,0,-0.41,0
535741.58,3541894.49,wet,assumed perennial,2021-02-21,543.33,785.11,998.78,1931.11,0,-0.42,0
535737.87,3541891.14,wet,assumed perennial,2021-02-21,590.56,825.33,1065.67,1976.00,0,-0.41,0
535730.45,3541884.43,wet,assumed perennial,2021-02-21,571.44,828.22,1085.00,2020.22,0,-0.42,0
535726.74,3541881.08,wet,assumed perennial,2021-02-21,507.78,807.67,1067.78,2011.89,0,-0.43,0
535723.03,3541877.73,wet,assumed perennial,2021-02-21,482.22,800.00,1042.44,1967.78,0,-0.42,0
535749.00,3541901.19,wet,assumed perennial,2021-02-21,451.78,713.78,926.89,1886.89,0,-0.45,0
535719.32,3541874.38,wet,assumed perennial,2021-02-21,524.00,812.00,1066.78,1971.44,0,-0.42,0
535395.44,3541912.99,wet,assumed perennial,2021-02-21,438.22,732.89,981.44,1866.33,0,-0.44,0
535404.78,3541909.41,wet,assumed perennial,2021-02-21,473.78,748.11,955.33,1845.22,0,-0.42,0
