x,y,wetdry,assumption,date,blue,green,red,NIR,missing,NDWI,p
536053.68,3541968.11,wet,assumed wet,2023-03-08,540.22,780.56,909.44,1738.56,0,-0.38,0
536049.30,3541970.53,wet,assumed wet,2023-03-08,490.89,732.33,881.78,1675.44,0,-0.39,0
536027.42,3541982.62,wet,assumed wet,2023-03-08,560.11,820.78,1095.89,1856.89,0,-0.39,0
536040.55,3541975.37,wet,assumed wet,2023-03-08,365.33,560.78,782.22,1500.11,0,-0.46,0
536044.93,3541972.95,wet,assumed wet,2023-03-08,382.56,592.89,799.56,1494.44,0,-0.43,0
536036.17,3541977.79,wet,assumed wet,2023-03-08,451.22,671.00,941.00,1748.44,0,-0.45,0
536031.80,3541980.20,wet,assumed wet,2023-03-08,527.22,767.56,1035.78,1852.11,0,-0.41,0
536062.43,3541963.28,wet,assumed wet,2023-03-08,530.22,770.00,972.11,1762.22,0,-0.39,0
536018.67,3541987.46,wet,assumed wet,2023-03-08,455.78,671.78,926.00,1602.11,0,-0.41,0
535985.20,3541997.42,wet,assumed wet,2023-03-08,527.44,778.22,973.22,1796.22,0,-0.40,0
535990.20,3541997.44,wet,assumed wet,2023-03-08,514.56,760.44,1006.11,1774.33,0,-0.40,0
536023.04,3541985.04,wet,assumed wet,2023-03-08,549.00,797.67,1044.44,1798.22,0,-0.39,0
535995.20,3541997.46,wet,assumed wet,2023-03-08,488.56,733.44,1032.67,1711.00,0,-0.40,0
536000.20,3541997.48,wet,assumed wet,2023-03-08,463.11,716.22,1016.67,1694.67,0,-0.41,0
536004.62,3541995.22,wet,assumed wet,2023-03-08,431.56,645.22,936.00,1641.67,0,-0.44,0
536009.00,3541992.80,wet,assumed wet,2023-03-08,450.67,651.78,943.67,1647.78,0,-0.43,0
536014.29,3541989.88,wet,assumed wet,2023-03-08,417.00,626.33,900.78,1535.78,0,-0.42,0
536071.19,3541958.44,wet,assumed wet,2023-03-08,597.00,854.56,1069.33,1816.56,0,-0.36,0
536066.81,3541960.86,wet,assumed wet,2023-03-08,551.78,800.44,1015.11,1742.44,0,-0.37,0
535832.88,3541963.45,wet,assumed wet,2023-03-08,386.44,583.44,663.78,1656.89,0,-0.48,0
535869.17,3541979.59,wet,assumed wet,2023-03-08,539.44,811.78,835.56,1935.11,0,-0.41,0
535864.39,3541978.13,wet,assumed wet,2023-03-08,480.44,754.22,771.11,1938.89,0,-0.44,0
