x,y,wetdry,assumption,date,blue,green,red,NIR,missing,NDWI,p
536287.85,3541576.10,dry,assumed dry,2019-06-08,281.00,443.00,604.22,2515.22,0,-0.70,0
536303.88,3541723.59,dry,assumed dry,2019-06-08,285.78,519.67,638.67,3425.89,0,-0.74,0
536296.10,3541570.45,dry,assumed dry,2019-06-08,303.56,539.11,655.56,3426.67,0,-0.73,0
536308.48,3541561.98,dry,assumed dry,2019-06-08,316.22,500.78,652.78,2908.78,0,-0.71,0
536308.48,3541561.98,dry,assumed dry,2019-06-08,175.89,448.44,557.78,3185.67,0,-0.75,0
536308.48,3541561.98,dry,assumed dry,2019-06-08,312.78,524.00,672.78,3423.22,0,-0.73,0
536329.11,3541547.86,dry,assumed dry,2019-06-08,304.56,536.78,686.22,3556.33,0,-0.74,0
536329.11,3541547.86,dry,assumed dry,2019-06-08,200.89,469.78,592.22,3339.44,0,-0.75,0
536329.11,3541547.86,dry,assumed dry,2019-06-08,359.56,544.56,686.33,3179.00,0,-0.71,0
536320.85,3541553.50,dry,assumed dry,2019-06-08,308.78,562.56,701.89,3440.89,0,-0.72,0
536320.85,3541553.50,dry,assumed dry,2019-06-08,196.22,477.44,572.11,3261.67,0,-0.74,0
536320.85,3541553.50,dry,assumed dry,2019-06-08,337.00,529.67,673.33,3109.33,0,-0.71,0
536316.73,3541556.33,dry,assumed dry,2019-06-08,303.89,553.89,691.22,3419.44,0,-0.72,0
536316.73,3541556.33,dry,assumed dry,2019-06-08,190.22,476.22,570.67,3258.22,0,-0.74,0
536316.73,3541556.33,dry,assumed dry,2019-06-08,321.44,505.33,657.56,3075.00,0,-0.72,0
536312.60,3541559.15,dry,assumed dry,2019-06-08,303.56,525.44,676.89,3412.78,0,-0.73,0
536312.60,3541559.15,dry,assumed dry,2019-06-08,171.78,449.44,556.56,3212.78,0,-0.75,0
536312.60,3541559.15,dry,assumed dry,2019-06-08,316.56,498.89,649.89,2909.33,0,-0.71,0
536274.52,3541597.11,dry,assumed dry,2019-06-08,242.33,415.44,590.22,1990.44,0,-0.65,0
536274.52,3541597.11,dry,assumed dry,2019-06-08,168.00,436.78,581.44,2537.11,0,-0.71,0
536287.85,3541576.10,dry,assumed dry,2019-06-08,287.11,514.22,663.11,3055.00,0,-0.71,0
536287.02,3541677.54,dry,assumed dry,2019-06-08,568.67,772.00,1002.44,3021.00,0,-0.59,0
536289.24,3541682.02,dry,assumed dry,2019-06-08,513.44,789.22,989.56,3549.33,0,-0.64,0
536289.24,3541682.02,dry,assumed dry,2019-06-08,354.44,681.11,868.56,3405.67,0,-0.67,0
536289.24,3541682.02,dry,assumed dry,2019-06-08,488.78,703.11,905.56,3120.78,0,-0.63,0
536291.46,3541686.50,dry,assumed dry,2019-06-08,370.78,645.78,767.78,3654.33,0,-0.70,0
536287.02,3541677.54,dry,assumed dry,2019-06-08,395.78,723.44,927.33,3278.00,0,-0.64,0
536291.46,3541686.50,dry,assumed dry,2019-06-08,237.89,539.89,670.78,3443.67,0,-0.73,0
536295.89,3541695.46,dry,assumed dry,2019-06-08,323.33,570.67,692.67,3707.56,0,-0.73,0
536295.89,3541695.46,dry,assumed dry,2019-06-08,190.11,485.56,600.67,3537.56,0,-0.76,0
536295.89,3541695.46,dry,assumed dry,2019-06-08,337.56,542.56,681.44,3403.00,0,-0.72,0
536293.67,3541690.98,dry,assumed dry,2019-06-08,342.44,613.00,711.56,3707.11,0,-0.72,0
536293.67,3541690.98,dry,assumed dry,2019-06-08,209.22,505.56,625.78,3496.00,0,-0.75,0
536291.46,3541686.50,dry,assumed dry,2019-06-08,375.44,579.56,743.33,3247.56,0,-0.70,0
536287.02,3541677.54,dry,assumed dry,2019-06-08,534.67,808.44,1035.56,3345.33,0,-0.61,0
536284.81,3541673.05,dry,assumed dry,2019-06-08,573.44,772.44,1006.11,3036.67,0,-0.59,0
536303.88,3541723.59,dry,assumed dry,2019-06-08,316.11,497.89,648.44,3118.67,0,-0.72,0
536274.52,3541597.11,dry,assumed dry,2019-06-08,335.11,572.44,746.33,2792.67,0,-0.66,0
536303.86,3541728.59,dry,assumed dry,2019-06-08,311.89,527.89,653.00,3393.56,0,-0.73,0
536303.86,3541728.59,dry,assumed dry,2019-06-08,163.33,430.22,534.00,3204.78,0,-0.76,0
536303.86,3541728.59,dry,assumed dry,2019-06-08,311.33,498.11,651.22,3177.78,0,-0.73,0
536280.37,3541664.09,dry,assumed dry,2019-06-08,318.33,596.56,744.11,3256.67,0,-0.69,0
536280.37,3541664.09,dry,assumed dry,2019-06-08,224.67,524.00,663.89,3089.78,0,-0.71,0
536280.37,3541664.09,dry,assumed dry,2019-06-08,381.44,586.89,746.78,2974.00,0,-0.67,0
536282.59,3541668.57,dry,assumed dry,2019-06-08,371.78,651.56,829.89,3243.78,0,-0.67,0
536282.59,3541668.57,dry,assumed dry,2019-06-08,282.67,594.89,759.33,3092.33,0,-0.68,0
536282.59,3541668.57,dry,assumed dry,2019-06-08,470.89,665.56,863.44,2968.78,0,-0.63,0
536284.81,3541673.05,dry,assumed dry,2019-06-08,476.00,748.11,961.11,3282.56,0,-0.63,0
536284.81,3541673.05,dry,assumed dry,2019-06-08,384.11,697.78,897.56,3193.56,0,-0.64,0
536293.67,3541690.98,dry,assumed dry,2019-06-08,353.78,554.00,712.56,3345.78,0,-0.72,0
536278.15,3541659.61,dry,assumed dry,2019-06-08,208.44,497.44,622.89,3025.67,0,-0.72,0
536271.24,3541631.24,dry,assumed dry,2019-06-08,348.56,577.78,746.78,3053.56,0,-0.68,0
536271.24,3541631.24,dry,assumed dry,2019-06-08,220.11,474.89,600.67,2952.67,0,-0.72,0
536271.24,3541631.24,dry,assumed dry,2019-06-08,345.89,508.44,668.44,2603.11,0,-0.67,0
