x,y,wetdry,assumption,date,blue,green,red,NIR,missing,NDWI,p
534451.93,3542233.61,dry,survey/imagery match,2016-09-22,1124.56,1395.33,1837.78,2920.00,0,-0.35,0
534446.93,3542233.60,dry,survey/imagery match,2016-09-22,1089.56,1368.11,1801.33,2846.22,0,-0.35,0
534441.93,3542233.58,dry,survey/imagery match,2016-09-22,1073.56,1343.22,1780.00,2792.22,0,-0.35,0
534436.93,3542233.56,dry,survey/imagery match,2016-09-22,997.56,1270.00,1691.44,2742.11,0,-0.37,0
534426.93,3542233.53,dry,survey/imagery match,2016-09-22,881.89,1181.44,1575.78,2817.89,0,-0.41,0
534421.93,3542233.52,dry,survey/imagery match,2016-09-22,765.67,1095.11,1451.78,2857.89,0,-0.45,0
534416.93,3542233.50,dry,survey/imagery match,2016-09-22,666.11,1017.33,1339.56,2833.00,0,-0.47,0
534431.93,3542233.55,dry,survey/imagery match,2016-09-22,925.44,1216.89,1619.89,2785.00,0,-0.39,0
534455.70,3542231.32,dry,survey/imagery match,2016-09-22,944.22,1228.11,1619.22,2888.56,0,-0.40,0
534458.48,3542227.16,dry,survey/imagery match,2016-09-22,705.78,1025.78,1366.11,2840.00,0,-0.47,0
534496.86,3542217.27,dry,survey/imagery match,2016-09-22,479.78,781.89,1043.67,2507.67,0,-0.52,0
534491.99,3542218.40,dry,survey/imagery match,2016-09-22,485.11,790.22,1070.56,2493.33,0,-0.52,0
534487.12,3542219.53,dry,survey/imagery match,2016-09-22,478.22,781.11,1065.11,2494.89,0,-0.52,0
534482.25,3542220.66,dry,survey/imagery match,2016-09-22,551.00,858.56,1175.22,2547.22,0,-0.50,0
534477.38,3542221.79,dry,survey/imagery match,2016-09-22,556.22,854.11,1161.67,2552.89,0,-0.50,0
534472.51,3542222.92,dry,survey/imagery match,2016-09-22,567.89,848.00,1134.56,2550.67,0,-0.50,0
534467.64,3542224.05,dry,survey/imagery match,2016-09-22,654.22,953.89,1277.00,2683.33,0,-0.48,0
534462.76,3542225.18,dry,survey/imagery match,2016-09-22,593.22,914.22,1223.33,2714.56,0,-0.50,0
534411.93,3542233.48,dry,survey/imagery match,2016-09-22,642.89,990.67,1304.11,2818.11,0,-0.48,0
534501.73,3542216.14,dry,survey/imagery match,2016-09-22,424.89,707.00,928.22,2434.44,0,-0.55,0
534347.86,3542242.90,dry,survey/imagery match,2016-09-22,1281.89,1589.78,2100.89,2776.67,0,-0.27,0
534343.12,3542244.37,dry,survey/imagery match,2016-09-22,1287.11,1616.56,2138.89,2777.33,0,-0.26,0
534338.64,3542246.59,dry,survey/imagery match,2016-09-22,1382.22,1719.56,2275.44,2746.67,0,-0.23,0
534352.76,3542241.93,dry,survey/imagery match,2016-09-22,1249.11,1539.11,2027.67,2781.00,0,-0.29,0
534334.16,3542248.82,dry,survey/imagery match,2016-09-22,1370.67,1713.33,2261.11,2755.67,0,-0.23,0
534329.68,3542251.04,dry,survey/imagery match,2016-09-22,1370.44,1703.78,2224.11,2781.11,0,-0.24,0
534325.21,3542253.26,dry,survey/imagery match,2016-09-22,1297.44,1636.67,2131.00,2829.00,0,-0.27,0
534320.73,3542255.48,dry,survey/imagery match,2016-09-22,1272.67,1596.22,2105.78,2816.67,0,-0.28,0
534316.25,3542257.71,dry,survey/imagery match,2016-09-22,1158.33,1513.22,1990.89,2802.67,0,-0.30,0
534357.67,3542240.96,dry,survey/imagery match,2016-09-22,997.33,1322.22,1728.78,2749.56,0,-0.35,0
534401.93,3542233.45,dry,survey/imagery match,2016-09-22,587.56,913.11,1184.00,2789.44,0,-0.51,0
534396.93,3542233.43,dry,survey/imagery match,2016-09-22,581.22,903.78,1170.89,2786.33,0,-0.51,0
534392.00,3542234.18,dry,survey/imagery match,2016-09-22,583.44,894.78,1167.56,2771.78,0,-0.51,0
534387.10,3542235.15,dry,survey/imagery match,2016-09-22,778.67,1093.00,1432.44,2777.67,0,-0.44,0
534382.19,3542236.11,dry,survey/imagery match,2016-09-22,804.44,1117.78,1462.22,2761.00,0,-0.42,0
534377.29,3542237.08,dry,survey/imagery match,2016-09-22,815.67,1136.00,1488.22,2739.56,0,-0.41,0
534372.38,3542238.05,dry,survey/imagery match,2016-09-22,1068.44,1389.00,1829.11,2759.78,0,-0.33,0
534367.48,3542239.02,dry,survey/imagery match,2016-09-22,1043.00,1345.56,1796.44,2756.33,0,-0.34,0
534362.57,3542239.99,dry,survey/imagery match,2016-09-22,995.67,1313.33,1732.33,2751.22,0,-0.35,0
534406.93,3542233.47,dry,survey/imagery match,2016-09-22,618.22,950.67,1245.33,2794.89,0,-0.49,0
534506.60,3542215.01,dry,survey/imagery match,2016-09-22,432.33,716.22,931.44,2430.33,0,-0.54,0
534647.85,3542182.24,dry,survey/imagery match,2016-09-22,558.00,793.33,1043.78,2324.22,0,-0.49,0
534642.98,3542183.37,dry,survey/imagery match,2016-09-22,540.89,776.78,1017.67,2332.78,0,-0.50,0
534638.11,3542184.50,dry,survey/imagery match,2016-09-22,442.11,691.89,876.22,2385.78,0,-0.55,0
534652.72,3542181.11,dry,survey/imagery match,2016-09-22,510.22,765.44,998.67,2355.33,0,-0.51,0
