x,y,wetdry,assumption,date,blue,green,red,NIR,missing,NDWI,p
539368.85,3540245.58,dry,assumed dry,2020-06-15,433.11,689.11,935.67,2766.00,0,-0.60,0
539382.80,3540251.09,dry,assumed dry,2020-06-15,447.11,654.11,908.44,2667.00,0,-0.61,0
539286.77,3540252.99,dry,assumed dry,2020-06-15,422.67,664.56,894.00,2726.00,0,-0.61,0
539293.15,3540246.03,dry,assumed dry,2020-06-15,496.33,744.67,1041.78,2883.78,0,-0.59,0
539289.01,3540248.52,dry,assumed dry,2020-06-15,458.11,722.11,1001.00,2794.67,0,-0.59,0
539302.27,3540241.94,dry,assumed dry,2020-06-15,708.67,969.89,1389.67,2705.44,0,-0.47,0
539297.71,3540243.98,dry,assumed dry,2020-06-15,586.78,842.56,1192.44,2815.89,0,-0.54,0
539311.39,3540237.84,dry,assumed dry,2020-06-15,723.56,986.89,1391.56,2701.78,0,-0.46,0
539306.83,3540239.89,dry,assumed dry,2020-06-15,778.78,1053.11,1502.56,2695.78,0,-0.44,0
539378.15,3540249.26,dry,assumed dry,2020-06-15,450.11,665.89,920.44,2673.22,0,-0.60,0
538781.58,3540251.69,dry,assumed dry,2020-06-15,467.33,663.44,908.33,2887.33,0,-0.63,0
531035.33,3544016.14,dry,assumed dry,2020-06-15,504.67,821.67,1329.22,2289.56,0,-0.47,0
539330.82,3540235.21,dry,assumed dry,2020-06-15,519.56,724.56,1062.44,2158.78,0,-0.50,0
535482.42,3541874.81,wet,assumed perennial,2020-06-15,410.33,644.00,883.11,2823.44,0,-0.63,0
538747.19,3540222.66,dry,assumed dry,2020-06-15,437.33,630.00,864.78,2685.33,0,-0.62,0
538743.37,3540219.44,dry,assumed dry,2020-06-15,444.22,639.89,880.44,2810.00,0,-0.63,0
538812.15,3540277.49,dry,assumed dry,2020-06-15,405.44,610.89,846.22,2436.33,0,-0.60,0
538815.97,3540280.71,dry,assumed dry,2020-06-15,395.44,599.22,840.11,2280.89,0,-0.58,0
538819.11,3540284.57,dry,assumed dry,2020-06-15,383.78,584.22,833.78,2301.11,0,-0.60,0
538822.06,3540288.61,dry,assumed dry,2020-06-15,436.78,642.00,914.89,2439.67,0,-0.58,0
538827.97,3540296.68,dry,assumed dry,2020-06-15,493.00,729.89,1038.33,2478.56,0,-0.55,0
531039.84,3544013.98,dry,assumed dry,2020-06-15,520.56,832.22,1345.78,2314.44,0,-0.47,0
538825.02,3540292.64,dry,assumed dry,2020-06-15,451.33,678.56,956.22,2499.89,0,-0.57,0
538833.88,3540304.74,dry,assumed dry,2020-06-15,476.56,707.33,1005.11,2161.89,0,-0.51,0
538845.70,3540320.88,dry,assumed dry,2020-06-15,401.56,606.22,875.33,2102.67,0,-0.55,0
538842.74,3540316.85,dry,assumed dry,2020-06-15,383.22,573.67,832.78,1921.22,0,-0.54,0
538839.79,3540312.81,dry,assumed dry,2020-06-15,367.00,558.89,805.67,1856.67,0,-0.54,0
531048.86,3544009.65,dry,assumed dry,2020-06-15,548.00,840.11,1402.33,2258.56,0,-0.46,0
538836.83,3540308.78,dry,assumed dry,2020-06-15,414.00,621.22,882.33,1912.89,0,-0.51,0
539320.82,3540235.16,dry,assumed dry,2020-06-15,665.33,884.78,1309.11,2470.33,0,-0.47,0
539315.96,3540235.79,dry,assumed dry,2020-06-15,679.11,916.89,1336.33,2587.11,0,-0.48,0
538830.93,3540300.71,dry,assumed dry,2020-06-15,518.44,754.44,1085.67,2365.22,0,-0.52,0
