x,y,wetdry,assumption,date,blue,green,red,NIR,missing,NDWI,p
538536.52,3540249.45,dry,assumed dry,2019-12-16,102.67,304.67,514.89,2286.44,0,-0.76,0
538580.26,3540238.89,dry,assumed dry,2019-12-16,304.11,648.00,899.67,1638.00,0,-0.43,0
538580.26,3540238.89,dry,assumed dry,2019-12-16,321.22,515.89,759.33,1719.67,0,-0.54,0
538575.40,3540240.07,dry,assumed dry,2019-12-16,315.78,630.78,906.11,1547.67,0,-0.42,0
538575.40,3540240.07,dry,assumed dry,2019-12-16,270.44,586.22,841.56,1548.00,0,-0.45,0
538575.40,3540240.07,dry,assumed dry,2019-12-16,241.22,435.89,645.89,1540.89,0,-0.56,0
538555.96,3540244.76,dry,assumed dry,2019-12-16,271.44,594.11,890.00,1602.56,0,-0.46,0
538555.96,3540244.76,dry,assumed dry,2019-12-16,266.00,579.00,848.56,1603.00,0,-0.47,0
538555.96,3540244.76,dry,assumed dry,2019-12-16,124.67,302.22,463.33,1324.44,0,-0.63,0
538560.82,3540243.58,dry,assumed dry,2019-12-16,260.89,585.00,865.33,1531.00,0,-0.45,0
538560.82,3540243.58,dry,assumed dry,2019-12-16,244.44,547.33,799.33,1531.56,0,-0.47,0
538560.82,3540243.58,dry,assumed dry,2019-12-16,72.67,249.56,424.22,1199.78,0,-0.66,0
538551.10,3540245.93,dry,assumed dry,2019-12-16,265.89,595.56,882.33,1602.78,0,-0.46,0
538551.10,3540245.93,dry,assumed dry,2019-12-16,259.89,580.89,852.00,1603.33,0,-0.47,0
538551.10,3540245.93,dry,assumed dry,2019-12-16,139.67,311.44,470.56,1371.78,0,-0.63,0
538546.24,3540247.10,dry,assumed dry,2019-12-16,218.22,562.00,826.22,1602.56,0,-0.48,0
538546.24,3540247.10,dry,assumed dry,2019-12-16,207.89,533.78,783.33,1602.78,0,-0.50,0
538546.24,3540247.10,dry,assumed dry,2019-12-16,61.67,198.89,374.11,1324.33,0,-0.74,0
538541.38,3540248.27,dry,assumed dry,2019-12-16,217.11,550.33,823.00,1841.56,0,-0.54,0
538541.38,3540248.27,dry,assumed dry,2019-12-16,199.78,527.00,763.11,1841.67,0,-0.56,0
538541.38,3540248.27,dry,assumed dry,2019-12-16,54.33,216.89,406.56,1810.78,0,-0.79,0
538536.52,3540249.45,dry,assumed dry,2019-12-16,228.44,563.11,841.67,2023.56,0,-0.56,0
538536.52,3540249.45,dry,assumed dry,2019-12-16,217.00,554.00,773.33,2023.89,0,-0.57,0
539274.65,3540285.43,dry,assumed dry,2019-12-16,327.11,700.44,1020.44,2249.11,0,-0.53,0
538474.99,3540298.49,dry,assumed dry,2019-12-16,161.89,483.89,695.22,1369.89,0,-0.48,0
536405.83,3541492.13,dry,assumed dry,2019-12-16,194.00,419.22,694.67,1725.33,0,-0.61,0
536409.46,3541488.69,dry,assumed dry,2019-12-16,41.11,221.67,410.22,1179.67,0,-0.68,0
536409.46,3541488.69,dry,assumed dry,2019-12-16,44.67,196.78,395.33,1179.22,0,-0.71,0
536402.20,3541495.57,dry,assumed dry,2019-12-16,407.56,666.44,1003.78,2297.89,0,-0.55,0
536402.20,3541495.57,dry,assumed dry,2019-12-16,424.00,671.56,1019.56,2296.44,0,-0.55,0
536412.60,3541485.73,dry,assumed dry,2019-12-16,51.89,214.44,405.00,1126.44,0,-0.68,0
536412.60,3541485.73,dry,assumed dry,2019-12-16,52.00,187.78,375.56,1126.22,0,-0.71,0
536419.86,3541478.86,dry,assumed dry,2019-12-16,65.67,206.22,402.78,1085.44,0,-0.68,0
536419.86,3541478.86,dry,assumed dry,2019-12-16,45.78,193.22,351.78,1085.00,0,-0.70,0
536423.49,3541475.42,dry,assumed dry,2019-12-16,76.11,226.56,419.33,1070.33,0,-0.65,0
536423.49,3541475.42,dry,assumed dry,2019-12-16,52.33,213.89,371.11,1070.11,0,-0.67,0
536427.12,3541471.98,dry,assumed dry,2019-12-16,49.67,250.33,450.22,1227.78,0,-0.66,0
536427.12,3541471.98,dry,assumed dry,2019-12-16,66.67,244.22,418.22,1227.89,0,-0.67,0
